Date,news
01-02-2020,179
02-02-2020,56
03-02-2020,99
04-02-2020,196
05-02-2020,152
06-02-2020,169
07-02-2020,168
08-02-2020,176
09-02-2020,29
10-02-2020,111
11-02-2020,158
12-02-2020,170
13-02-2020,161
14-02-2020,156
15-02-2020,164
16-02-2020,46
17-02-2020,31
18-02-2020,133
19-02-2020,110
20-02-2020,167
21-02-2020,110
22-02-2020,149
23-02-2020,33
24-02-2020,67
25-02-2020,175
26-02-2020,249
27-02-2020,244
28-02-2020,381
29-02-2020,469
01-03-2020,91
02-03-2020,209
03-03-2020,376
04-03-2020,412
05-03-2020,490
06-03-2020,444
07-03-2020,614
08-03-2020,168
09-03-2020,376
10-03-2020,732
11-03-2020,863
12-03-2020,1163
13-03-2020,1850
14-03-2020,1767
15-03-2020,441
16-03-2020,1235
17-03-2020,2103
18-03-2020,2383
19-03-2020,2591
20-03-2020,2326
21-03-2020,1978
22-03-2020,461
23-03-2020,1455
24-03-2020,2403
25-03-2020,2490
26-03-2020,2682
27-03-2020,2502
28-03-2020,2015
29-03-2020,458
30-03-2020,1302
31-03-2020,2215
01-04-2020,2252
02-04-2020,2518
03-04-2020,2296
04-04-2020,1877
05-04-2020,445
06-04-2020,1250
07-04-2020,2099
08-04-2020,2290
09-04-2020,2340
10-04-2020,487
11-04-2020,1616
12-04-2020,397
13-04-2020,630
14-04-2020,1915
15-04-2020,2130
16-04-2020,2254
17-04-2020,2064
18-04-2020,1633
19-04-2020,381
20-04-2020,1069
21-04-2020,1831
22-04-2020,1989
23-04-2020,2133
24-04-2020,1900
25-04-2020,1471
26-04-2020,353
27-04-2020,980
28-04-2020,1747
29-04-2020,1912
30-04-2020,2110
01-05-2020,1906
02-05-2020,1507
03-05-2020,319
04-05-2020,1018
05-05-2020,1498
06-05-2020,1896
07-05-2020,1772
08-05-2020,1718
09-05-2020,1553
10-05-2020,332
11-05-2020,1057
12-05-2020,1652
13-05-2020,1913
14-05-2020,1928
15-05-2020,1748
16-05-2020,1556
17-05-2020,290
18-05-2020,264
19-05-2020,1495
20-05-2020,1726
21-05-2020,1704
22-05-2020,1592
23-05-2020,1388
24-05-2020,402
25-05-2020,962
26-05-2020,1601
27-05-2020,1675
28-05-2020,1613
29-05-2020,1479
30-05-2020,1335
31-05-2020,272
01-06-2020,750
02-06-2020,1370
03-06-2020,1438
04-06-2020,1464
05-06-2020,1312
06-06-2020,1184
07-06-2020,232
08-06-2020,701
09-06-2020,1211
10-06-2020,1383
11-06-2020,1476
12-06-2020,1323
13-06-2020,1027
14-06-2020,239
15-06-2020,737
16-06-2020,1315
17-06-2020,1373
18-06-2020,1298
19-06-2020,1294
20-06-2020,1104
21-06-2020,251
22-06-2020,723
23-06-2020,1193
24-06-2020,1331
25-06-2020,1355
26-06-2020,1290
27-06-2020,1138
28-06-2020,274
29-06-2020,681
30-06-2020,1171
01-07-2020,470
02-07-2020,1380
03-07-2020,1139
04-07-2020,1066
05-07-2020,246
06-07-2020,665
07-07-2020,1143
08-07-2020,1272
09-07-2020,1288
10-07-2020,1162
11-07-2020,1014
12-07-2020,219
13-07-2020,646
14-07-2020,1174
15-07-2020,1287
16-07-2020,1302
17-07-2020,1227
18-07-2020,1116
19-07-2020,221
20-07-2020,663
21-07-2020,1115
22-07-2020,1279
23-07-2020,1218
24-07-2020,1138
25-07-2020,1157
26-07-2020,230
27-07-2020,599
28-07-2020,1156
29-07-2020,1134
30-07-2020,1236
31-07-2020,1264
01-08-2020,1041
02-08-2020,197
03-08-2020,195
04-08-2020,1019
05-08-2020,1113
06-08-2020,1151
07-08-2020,1088
08-08-2020,1004
09-08-2020,172
10-08-2020,564
11-08-2020,995
12-08-2020,1078
13-08-2020,1203
